"country","date","variable","value"
"Nicaragua",2020-03-10,"retail and recreation",-3
"Nicaragua",2020-03-09,"retail and recreation",-2
"Nicaragua",2020-03-08,"retail and recreation",0
"Nicaragua",2020-03-07,"retail and recreation",2
"Nicaragua",2020-03-06,"retail and recreation",2
"Nicaragua",2020-03-05,"retail and recreation",2
"Nicaragua",2020-03-04,"retail and recreation",-1
"Nicaragua",2020-03-03,"retail and recreation",-2
"Nicaragua",2020-03-02,"retail and recreation",0
"Nicaragua",2020-03-01,"retail and recreation",3
"Nicaragua",2020-02-29,"retail and recreation",6
"Nicaragua",2020-02-28,"retail and recreation",4
"Nicaragua",2020-02-27,"retail and recreation",2
"Nicaragua",2020-02-26,"retail and recreation",-3
"Nicaragua",2020-02-25,"retail and recreation",-5
"Nicaragua",2020-02-24,"retail and recreation",-3
"Nicaragua",2020-02-23,"retail and recreation",-1
"Nicaragua",2020-02-22,"retail and recreation",-1
"Nicaragua",2020-02-21,"retail and recreation",0
"Nicaragua",2020-02-20,"retail and recreation",1
"Nicaragua",2020-02-19,"retail and recreation",-2
"Nicaragua",2020-02-18,"retail and recreation",-4
"Nicaragua",2020-02-17,"retail and recreation",0
"Nicaragua",2020-02-16,"retail and recreation",2
"Nicaragua",2020-04-05,"transit stations",-35
"Nicaragua",2020-04-04,"transit stations",-28
"Nicaragua",2020-04-03,"transit stations",-24
"Nicaragua",2020-04-02,"transit stations",-25
"Nicaragua",2020-04-01,"transit stations",-26
"Nicaragua",2020-03-31,"transit stations",-28
"Nicaragua",2020-03-30,"transit stations",-29
"Nicaragua",2020-03-29,"transit stations",-38
"Nicaragua",2020-03-28,"transit stations",-34
"Nicaragua",2020-03-27,"transit stations",-30
"Nicaragua",2020-03-26,"transit stations",-28
"Nicaragua",2020-03-25,"transit stations",-27
"Nicaragua",2020-03-24,"transit stations",-27
"Nicaragua",2020-03-23,"transit stations",-25
"Nicaragua",2020-03-22,"transit stations",-32
"Nicaragua",2020-03-21,"transit stations",-27
"Nicaragua",2020-03-20,"transit stations",-16
"Nicaragua",2020-03-19,"transit stations",-10
"Nicaragua",2020-03-18,"transit stations",-5
"Nicaragua",2020-03-17,"transit stations",-4
"Nicaragua",2020-03-16,"transit stations",-2
"Nicaragua",2020-03-15,"transit stations",-1
"Nicaragua",2020-03-14,"transit stations",0
"Nicaragua",2020-03-13,"transit stations",0
"Nicaragua",2020-03-12,"transit stations",0
"Nicaragua",2020-03-11,"transit stations",-1
"Nicaragua",2020-03-10,"transit stations",0
"Nicaragua",2020-03-09,"transit stations",0
"Nicaragua",2020-03-08,"transit stations",-2
"Nicaragua",2020-03-07,"transit stations",-1
"Nicaragua",2020-03-06,"transit stations",2
"Nicaragua",2020-03-05,"transit stations",3
"Nicaragua",2020-03-04,"transit stations",2
"Nicaragua",2020-03-03,"transit stations",1
"Nicaragua",2020-03-02,"transit stations",0
"Nicaragua",2020-03-01,"transit stations",1
"Nicaragua",2020-02-29,"transit stations",0
"Nicaragua",2020-02-28,"transit stations",0
"Nicaragua",2020-02-27,"transit stations",-1
"Nicaragua",2020-02-26,"transit stations",-3
"Nicaragua",2020-02-25,"transit stations",-2
"Nicaragua",2020-02-24,"transit stations",-2
"Nicaragua",2020-02-23,"transit stations",-1
"Nicaragua",2020-02-22,"transit stations",-3
"Nicaragua",2020-02-21,"transit stations",0
"Nicaragua",2020-02-20,"transit stations",2
"Nicaragua",2020-02-19,"transit stations",1
"Nicaragua",2020-02-18,"transit stations",-2
"Nicaragua",2020-02-17,"transit stations",-1
"Nicaragua",2020-02-16,"transit stations",1
